,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
182,"alle Spiel- und Bolzplatzdefizite abbauen. Im gesamten Stadtgebiet Spielflächen für Kinder und Jugendliche installieren, wie Aktiv- und Bauspiel-, sowie Bolzplätze.",w,51-60,Mannhof,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Plätze der Zusammenkunft für Jugendliche, selbstverwaltete Cafés, offene Treffs in der Innenstadt.",w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,
182,Mehr Schwimmhallen und Sportflächen im gesamten Stadtgebiet zur Förderung der Gesundheit schaffen.,w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,,,
182,Quartiersnetzwerke zur optimalen Koordination und Unterstützung der Stadtverwaltung einrichten,w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Partizipation von Kindern und Jugendlichen organisieren.,w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
182,Partizipation von Senioren und Behinderten für Kulturtreffs gestalten.,w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,
183,"Ich würde die 2 viel zu kleinen Nadelöhre/Eisenbahndurchlässe zwischen den beiden Stadthälften kräftig vergrößern, um eine Stadt aus den zwei Stadtteilen zu machen.",m,70+,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,,,,
183,"Im Stadtbild gibt es so gut wie keine moderne Kunst, weder moderne Architektur noch nennenswerte moderne Skulpturen. Um das aufzubessern gibt es Leute und Geld.",m,70+,Dambach,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Die mickrige Kunst-Galerie-Fürth ist für die Größe der Stadt und deren wirtschaftlichen Potentials ein einziges Trauerspiel. Sie muss mindestens einem Erhard-Museum gleich ziehen.,m,70+,Dambach,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Ich würde die Kunst nicht an das Krankenhausressort dranhängen. Das zeigt eindeutig, wie die Stadtregierung darüber denkt. Ich würde ihr ein eigenes Ressort und ein richtiges Budget zuteilen.",m,70+,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
184,mehr inhabergeführte Läden und Gastronomie,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,
184,weniger Autos in der Stadt,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
184,mehr Schatten in der Stadt,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Wohnraum statt Leerstand,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
184,günstige Öffis,w,51-60,Innenstadt,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Stadtteil-, Straßenfeste zur Identifikation und für raus aus der Anonymität",w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,sinnvolle und niedrigschwellige Angebote für ältere Jugendliche...,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
184,Ganz viel ist schon echt super!,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
185,"Fürth sollte sich um ein neues Stadtviertel bemühen. Eine Idee wäre die geplante U-Bahn Erweiterung ""Kieselbühl"" umzusetzen. Hier könnte zwischen Unterfarrnbach, Burgfarrnbach und Atzenhof und Ritzmannshof ein Campus für Hochschule (hier sollte das Land endlich auch in Fürth aktiv werden), ein dringend benötigtes viertes Gymnasium und weitere dringen benötigte Projekte entstehen. Auf jetzigen Ackerflächen in dieser Gegend könnte Neubau entstehen. Think big! Auch das Land könnte sich für ein ""Zukunftsprojekt"" interessieren.",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Eingemeindung von Teilen des Landkreises, um Erweiterungs- und Wachstumsmöglichkeiten zu schaffen (das vorhandene Potential sollte genutzt, nicht abmoderiert werden -->wie vom OB)",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Es braucht unbedingt Neubaugebiete, vor allem welche, die nicht von großen Unternehmen entwickelt werden, sondern Bürger:innen selbst gestalten können (mit strengen Umweltvorgaben). Es gibt kaum Platz für Familien, es gibt kaum bezahlbaren Raum!",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,
185,"Urbanisierung der Innenstadt u.a. durch: Weniger Autos, mehr Radstraßen (dafür P&R - Alternativen)",m,31-40,Südstadt,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Aufhebung der Sperrzeit in Gastronomie und Förderung von Kneipen- und Clubkultur,m,31-40,Südstadt,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,mehr öffentliche Flächen für Kunst/Graffiti etc.,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,
185,Schaffung eines alternativen Kulturzentrums,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,
186,Mehr Geld für Kultur,w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
186,Bezahlbare Ateliers und Proberäume,w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,
186,Nachbarschaftshäuser in jedem Stadtteil,w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,
186,Viel mehr Barrierefreiheit und Teilhabe für jeden ermöglichen,w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
187,Weniger Autos,d,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
187,Durchgehende Fahrradwege,d,51-60,Innenstadt,,,,x,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Platz fur Fußgänger,d,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Wenn man an den Ampeln auf den Knopf drückt, sollte es gleich grün werden und nicht erst nach einer Ewigkeit. In anderen Städten geht das.",d,51-60,Innenstadt,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
187,Keine Parkplätze auf den großen Plätzen,d,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
187,Viel mehr Grün in der Stadt,d,51-60,Innenstadt,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Nachtbusse täglich,d,51-60,Innenstadt,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Sperrstunde 5 Uhr wie in Nürnberg, dann gibt es auch wieder Clubs und Bars für junge Leute - im Moment müssen ja alle nach Nürnberg",d,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
187,Bürgerbefragung bevor historische Gebäude verkauft oder abgerissen werden,d,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
188,Keine weitere enge Bebauung zulassen wie z.B. in der Fürther Südstadt,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
188,10.000 Bäume pflanzen pro Jahr,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,keine Nachverdichtung von Grundstücken,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
188,Autos raus aus der Innenstadt,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"öffentlichen Nahverkehr ausbauen, Taktung erhöhen",w,51-60,Dambach,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188, öffentlichen Nahverkehr behindertengerecht gestalten (in Max 5 Jahren),w,51-60,Dambach,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Fedderlaswirtschaft im Stadtrat entflechten,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,OB darf max 2 Amtsperioden im Amt bleiben,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,
188,Mitsprache von Kindern und Jugendlichen bei Stadtratsentscheidungen implementieren,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
188,verstärkter Ausbau der Photovoltaik-Anlagen auf privaten Dächern,w,51-60,Dambach,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,
188,Verbot von Einweg in Fürth,w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
188,Konsequente Kontrolle des Verbots von Streusalz von Privatleuten,w,51-60,Dambach,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Vorschlag auf Weltebene: jeder Mensch hat ein individualisiertes Kontingent an Co2-Verbrauch. Jeder kann es auf seine Weise verbrauchen durch Sprit oder Heizung oder Reisen etc. Ist das Kontingent erschöpft, gibt es erst im neuen Jahr ein neues. - - -",w,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,
189,Die Vororte im Norden von Fürth besser in die Stadtprojeket und Nahversorgung mit einplanen!,w,51-60,Vach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Fahrradstadt ist gut, doch auch an die Menschen denken die in die Stadt mit dem Auto fahren müssen, es kann nicht jeder auf die Busse/U-Bahn umsteigen.",w,51-60,Vach,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Ansonsten finde ich, dass wir in Fürth schon sehr gut sind in die Nachhaltigkeit. Dank auch an unsere Stadtführung.",w,51-60,Vach,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Keine extra Fahrradstrecken. Wer Rad fahren will der ist genau so ein Verkehrsteilnehmer wie alle anderen auch.,w,61-70,Südstadt,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Keine Streetroller. Die sind immer im Weg, werden überall angestellt und die Fahrer sind der Ansicht sie dürfen auf Gehwegen fahren.",w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"Eine Füßgänger-Unterführung von U-Bahnhof Rathaus bis zum Flair, damit bei Regen die Kunden nicht mehr in der U-Bahn sitzen bleiben bis U-Bahnhof Lorenzkirche",w,61-70,Unterfarrnbach,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Fußgängerzone Schwabacher Str. begrünen,w,61-70,Unterfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
192,"Mehr Fahrrad-Wege, und diese konsequent rot streichen, damit sie besser auffallen, und vor allem auch viel mehr Fahrradabstellplätze",w,61-70,Unterfarrnbach,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,behindertengerechter Ausbau der öffentlichen Räume und des ÖPNV ist deutlich zu beschleunigen (z. B. unterschiedlich markierte Pflastersteine (Noppen oder Streifen) an allen Kreuzungsübergängen für Blinde),w,61-70,Unterfarrnbach,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Den Vorrang des Autoverkehrs abschaffen,w,51-60,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
193,"Deutlich mehr Bäume pflanzen, es gäbe so viele Möglichkeiten: zum Beispiel im Industriegebiet der Schwabacher Straße gibt es große Rasenflächen vor manchen Firmen und da wächst so gut wie gar nichts. Man könnte sie doch anregen oder bitten dort Bäume zu pflanzen.",w,51-60,Westvorstadt,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Den Nahverkehr optimieren,w,51-60,Westvorstadt,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Keine Nachverdichtung um jeden Preis in Villenvierteln: Da werden uralte wunderschöne Gärten mit riesigen Bauhausvillen zugebaut welche hunderte von Quadratmetern Wohnfläche für eine einzige Familie und bis zu vier Carports haben. Das ist nicht das was ich unter Nachverdichtung verstehe.,w,51-60,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Schotter in Gärten verbieten,w,51-60,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Ich würde Fürth barrierefrei machen, damit Fürth überall auch ohne Hindernisse endlich für Seh-, Hör- und Gehbehinderte angstfrei zugänglich wird - Fürth für Alle!",m,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Ich würde Fürth mit einer höheren Aufenthaltsqualität ausstatten - damit alle ihre schattige, grüne, wasserreiche Stadt ohne Konsumzwang genießen können.",m,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Ich würde Fürth vom Autoverkehr mit seinem Gestank und Gefahrenpotential befreien, den Fuß- und Fahrradverkehr fördern, ökologisch sinnvolle Transportformen vorschreiben und den Öffentlichen Nahverkehr barrierearm und kostenfrei machen und bedarfsgerecht ausbauen _ Nulltarif im ÖPNV!",m,51-60,Südstadt,x,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Ich würde in Fürth die Armut bekämpfen, für Alle bezahlbare Mieten einführen, Gas- und Stromsperren aussetzen, Zwangsräumungen abschaffen, krank machende Wohnumgebungen sanieren, gesunde Nahrung preisgünstig anbieten und die Existenzangst aus dem Leben aller Fürther und Fürtherinnen verbannen.",m,51-60,Südstadt,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
194,"Ich würde mit etwas Feenstaub Sonne, Licht und Lebensfreude in die Herzen aller Fürther und Fürtherinnen zaubern.",m,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,mehr Freitzeit Angebote und Rückzugsorte für Jugendliche und Kinder,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,mehr Briefkästen,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,
195,bessere Online Präsenz und Digitalisierung der Amts-Struktur,m,31-40,Eigenes Heim,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,bessere Online Präsenz und Digitalisierung der Kultur,m,31-40,Eigenes Heim,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
196,"Mehr Klimaschutz: an öffentlichen Plätzen, in Ämtern, Schulen... die Stadt als Vorbild! Mehr Bildungsangebote und Aufklärung",w,31-40,Hardhöhe,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
196,bessere Parkraumbewirtschaftung,w,31-40,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x
197,"Parkhäuser für die Altstadtbereiche, die augenblickliche Parkplatzsituation ist zum Teil katastrophal.",m,61-70,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Das Radwegenetz (zum Teil schon auf einem guten Weg) weiter deutlich ausbauen.,m,61-70,Innenstadt,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"Die Hundesteuer deutlich erhöhen und Hundebesitzer aufblenden, Grün-Erholungsflächen deutlich stärker kontrollieren sowie die Strafen empfindlich erhöhen. Die Verkotung der Wege und Wiesen ist in zunehmenden Maß widerlich und ekelhaft.",m,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Mehr vegane Restaurants,w,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Mehr Grün,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
199,"mehr gesellschaftliches basisdemokratisches, interkulturelles, integratives Leben",m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"mehr Fahrradbereiche, Weniger Autos (Abgase)",m,31-40,Innenstadt,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
199,mehr öffentliches Leben,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,weniger Gelaber und lieber Machen!,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,verpackungsfreie Läden attraktiver machen.,w,unter 20,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,mehr Kultur,w,unter 20,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
201,Das wichtigste sind die zu hohen Mieten.,w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
202,Autos raus aus der Innenstadt!,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"Fürth Innenstadt ist so klein, dass man ein Modellprojekt als Fahrradstadt machen könnte, mit Rollern, Fahrrädern, Fußgängerstraßen.",m,31-40,Innenstadt,,,,,,x,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Einen Ort für Subkultur inkl Proberäume schaffen,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
203,Noch mehr Fahrradwege und verkehrsberuhigte Zonen,m,31-40,Eigenes Heim,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,
203,"Einen Ort für gemeinnützige Initiativen, Gründung und kooperative Zusammenarbeit schaffen",m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Die Stadt noch grüner machen,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,x,,,,
203,Mehr urban gardening Projekte wie den Interkulturellen Garten ermöglichen,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ein Radweg auf der Brücke Würzburger StR. S-Bahnhof Unterfarrnbach,w,21-30,Eigenes Heim,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,x,,,,,,,
204,Mehr Sportgeräte in den Fürther Grünanlagen,w,21-30,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,mehr Spielplätze,w,21-30,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,mehr Briefkästen,w,21-30,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
206,Schulen erneuern und attraktiver machen.,w,51-60,Eigenes Heim,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Parkende Autos und LKWs auch am Rand von schmaleren Straßen verringern,w,51-60,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
206,Wieder mehr Post- und Sparkassenfilialen in der Nähe.,w,51-60,Eigenes Heim,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"Nach wie vor: zuviel Autos, zuwenig grün.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
208,Fahrradstraßen ausbauen,w,41-50,Innenstadt,,,,x,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,flexiblere car sharing Angebot,w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,kreative Angebote für Jugendliche und Kids/ zB offenes Atelier,w,41-50,Innenstadt,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,mehr Mülleimer,w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
209,Bauspielplatz in der Südstadt,w,51-60,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Wasserspielplätze im Sommer – Eisfläche für Wintersport,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
209,Kleinere Kindergartengruppen und Kleinere Schulklassen,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x
209," Schule für Autisten, die keine kognitive Beeinträchtigung haben",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
209," Barrierefreiheit bei Mobilität, Arztpraxen...",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
209,Kostenlose Nutzung des öffentlichen Nahverkehrs,w,51-60,Südstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"Radfahrer, erobert euch die Straßen!",w,51-60,Südstadt,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
